NO.,ROW,COL,NNZ,cnt0-8,cnt1-8,new_sparsity_ratio1,new_sparsity_ratio2
0,512,512,128761,534,801,0.7503393156294595,0.748254058873213
1,512,512,132877,186,607,0.7451104137253699,0.741773809893971
2,512,512,142349,169,430,0.7270832694254425,0.7248805584760962
3,512,512,122501,437,723,0.7631897404967369,0.761076220939304
4,2048,512,657561,51,684,0.6863284320834064,0.6848056377887536
5,512,2048,587093,230,699,0.7195601374176488,0.7185512912949767
6,512,512,158760,57,255,0.6966616734431843,0.6948143819395318
7,512,512,161312,20,205,0.6921338707707341,0.6903847925559684
8,512,512,154701,70,274,0.7042995748975472,0.7024431433495415
9,512,512,163812,24,177,0.6873243953090642,0.6858565248074622
10,512,512,138452,122,398,0.7349368988543772,0.7326768612913191
11,512,512,140197,97,426,0.7318015212267761,0.729073263867417
12,512,512,139415,138,395,0.7329623812442538,0.7308424458653817
13,512,512,130440,213,532,0.7495776378436492,0.7470995160689912
14,2048,512,615379,112,992,0.706313473579719,0.7043266643603936
15,512,2048,552458,379,914,0.7358035625473438,0.7347176124402649
16,512,512,122396,515,868,0.7628205128205128,0.7601959247648903
17,512,512,163814,21,228,0.6873492228295721,0.6853603257529195
18,512,512,119017,507,843,0.7694255447754255,0.7669988253719655
19,512,512,156550,51,225,0.7009391142219641,0.6993401038625818
20,512,512,130692,169,523,0.7494324979293843,0.7466816560707086
21,512,512,144385,66,321,0.7240516635068192,0.7218829938052824
22,512,512,131820,156,509,0.7473705997792224,0.7446061564214638
23,512,512,133155,141,480,0.7449294296135103,0.742251378221011
24,2048,512,629035,77,838,0.6998764265811672,0.6981227060521831
25,512,2048,550086,390,956,0.7369157573345985,0.7357713501798395
26,512,512,129969,177,508,0.7507574944002946,0.7482001704897706
27,512,512,164324,11,163,0.6864715938578014,0.6850099677963503
28,512,512,131426,138,467,0.7482646337726019,0.7457005975047213
29,512,512,157607,55,238,0.6988830892917188,0.6971891331079004
30,512,512,132401,148,487,0.7463193592887799,0.7436553235649453
31,512,512,158040,27,192,0.6983140404996793,0.6967859774066798
32,512,512,136023,101,428,0.7397545688309303,0.7371231447124305
33,512,512,146596,108,381,0.7194657072872015,0.717100997313737
34,2048,512,640824,82,787,0.6942400183220093,0.6925854856660398
35,512,2048,560424,334,836,0.7320863100246294,0.7310536257256058
36,512,512,133334,110,461,0.7448289852409823,0.7420566750239885
37,512,512,165516,16,172,0.6841490595994137,0.6826374401767088
38,512,512,134172,126,426,0.7430993811653698,0.7407164059118174
39,512,512,161231,39,213,0.6921098261480645,0.6904642144063892
40,512,512,128782,166,526,0.7531171400527575,0.750360554556169
